,,,,,,,,,,,,,,,,
,,,,,,,,,,,,4/30/2019 1:49:15 PM,,,,
,,,,,Public View of NIBRS Crime,,,,,,,,,,,
,,,,,,,,,,,,,,,Page 1 of 1,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,"Total of  21,107  NIBRS offenses reported from 12/1/2018 to 12/31/2018 ",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Occurrence Date,,Occurrence Hour,,NIBRS Description,,Offense Count,Beat,Premise,Block Range,,Street Name,,,Street Type,,Suffix
2018-12-01,,00,,"Burglary, Breaking and Entering",,1,22B40,"Parking Lot, Garage",15100-15199,,VICKERY,,,DR,,
2018-12-01,,00,,Identify theft,,1,3B40,"Other, Unknown",300-399,,NEYLAND,,,ST,,
2018-12-01,,00,,"Burglary, Breaking and Entering",,1,20G40,"Residence, Home (Includes Apartment)",11600-11699,,TRAILMONT,,,DR,,
2018-12-01,,00,,"False pretenses, swindle",,1,13D10,"Other, Unknown",3800-3899,,TELEPHONE,,,RD,,
2018-12-01,,00,,Intimidation,,2,8C20,"Residence, Home (Includes Apartment)",7600-7699,,FAWNRIDGE,,,DR,,
2018-12-01,,00,,"Burglary, Breaking and Entering",,1,9C40,"Other, Unknown",1600-1699,,MILES,,,,,
2018-12-01,,00,,Forcible rape,,1,1A20,"Parking Lot, Garage",700-799,,COLQUITT,,,ST,,
2018-12-01,,00,,Motor vehicle theft,,1,6B40,"Highway, Road, Street, Alley",,,MOUNT HOUSTON,,,RD,,W
2018-12-01,,00,,All other offenses,,1,17E40,"Residence, Home (Includes Apartment)",8200-8299,,BELLFORT,,,AVE,,W
2018-12-01,,01,,All other offenses,,1,1A10,"Highway, Road, Street, Alley",1600-1699,,PEASE,,,ST,,
2018-12-01,,01,,Intimidation,,1,6B40,"Residence, Home (Includes Apartment)",1400-1499,,GULF BANK,,,RD,,W
2018-12-01,,01,,Weapon law violations,,1,6B40,"Residence, Home (Includes Apartment)",1400-1499,,GULF BANK,,,RD,,W
2018-12-01,,01,,"Burglary, Breaking and Entering",,1,20G20,"Residence, Home (Includes Apartment)",10400-10499,,DEERWOOD,,,RD,,
2018-12-01,,01,,All other offenses,,1,10H40,"Bar, Nightclub",2600-2699,,TRAVIS,,,ST,,
2018-12-01,,01,,Driving under the influence,,1,10H70,"Highway, Road, Street, Alley",4900-4999,,SH 288,,,HWY,,
2018-12-01,,01,,Simple assault,,1,17E40,"Residence, Home (Includes Apartment)",8100-8199,,FURLONG,,,LN,,
2018-12-01,,01,,Robbery,,1,18F50,"Parking Lot, Garage",3700-3799,,TANGLEWILDE,,,ST,,
2018-12-01,,01,,Aggravated Assault,,1,14D30,"Service, Gas Station",8600-8699,,MARTIN LUTHER KING,,,BLVD,,
2018-12-01,,01,,Simple assault,,2,7C20,"Residence, Home (Includes Apartment)",3100-3199,,VINTAGE,,,,,
2018-12-01,,01,,Driving under the influence,,1,15E40,"Highway, Road, Street, Alley",3000-3099,,LOOP,,,,,S
2018-12-01,,01,,Intimidation,,1,19G40,"Residence, Home (Includes Apartment)",11300-11399,,RIDERWOOD,,,DR,,
2018-12-01,,01,,Driving under the influence,,1,4F10,"Highway, Road, Street, Alley",9700-9799,,LARSTON,,,ST,,
2018-12-01,,01,,"Drug, narcotic violations",,1,8C30,Park/Playground,8800-8899,,FELAND,,,,,
2018-12-01,,01,,Aggravated Assault,,1,14D20,"Hotel, Motel, ETC",2800-2899,,REED,,,RD,,
2018-12-01,,01,,All other offenses,,1,2A50,"Bar, Nightclub",5300-5399,,WASHINGTON,,,AVE,,
2018-12-01,,01,,"Drug, narcotic violations",,1,10H40,"Highway, Road, Street, Alley",2100-2199,,SAN JACINTO,,,ST,,
2018-12-01,,01,,All other offenses,,1,10H40,"Highway, Road, Street, Alley",2100-2199,,SAN JACINTO,,,ST,,
2018-12-01,,01,,Driving under the influence,,1,6B10,"Parking Lot, Garage",7000-7099,,AIRLINE,,,DR,,
2018-12-01,,01,,Theft from motor vehicle,,1,15E40,"Parking Lot, Garage",9800-9899,,BUFFALO SPEEDWAY,,,,,
2018-12-01,,01,,Simple assault,,2,19G20,"Residence, Home (Includes Apartment)",6800-6899,,COOK,,,RD,,
2018-12-01,,01,,Theft from motor vehicle,,1,15E40,"Parking Lot, Garage",9000-9099,,MAIN,,,ST,,
2018-12-01,,01,,Theft of motor vehicle parts or accessory,,1,11H30,"Residence, Home (Includes Apartment)",8400-8499,,BARKLEY,,,DR,,
2018-12-01,,01,,Theft from motor vehicle,,1,15E20,"Highway, Road, Street, Alley",5200-5299,,ARBOLES,,,DR,,
2018-12-01,,01,,Theft from motor vehicle,,1,15E20,"Highway, Road, Street, Alley",5200-5299,,ARBOLES,,,DR,,
2018-12-01,,01,,"Burglary, Breaking and Entering",,1,15E20,"Residence, Home (Includes Apartment)",5200-5299,,GASMER,,,DR,,
2018-12-01,,01,,"Burglary, Breaking and Entering",,1,7C20,"Residence, Home (Includes Apartment)",5000-5099,,CAVALCADE,,,ST,,
2018-12-01,,01,,All other larceny,,1,17E40,"Residence, Home (Includes Apartment)",6600-6699,,LUDINGTON,,,DR,,
2018-12-01,,01,,Theft from motor vehicle,,1,3B10,"Parking Lot, Garage",3500-3599,,MANGUM,,,RD,,
2018-12-01,,01,,"Burglary, Breaking and Entering",,1,15E20,"Residence, Home (Includes Apartment)",5200-5299,,GASMER,,,DR,,
2018-12-01,,01,,All other larceny,,1,13D20,"Bar, Nightclub",7900-7999,,MOSLEY,,,RD,,
2018-12-01,,01,,All other offenses,,1,5F30,"Highway, Road, Street, Alley",6400-6499,,CLARA,,,RD,,
2018-12-01,,01,,Intimidation,,2,6B30,"Residence, Home (Includes Apartment)",5800-5899,,PAR FOUR,,,DR,,
2018-12-01,,01,,Motor vehicle theft,,1,4F10,"Parking Lot, Garage",1100-1199,,SHADOWDALE,,,DR,,
2018-12-01,,01,,Aggravated Assault,,1,17E20,"Residence, Home (Includes Apartment)",6800-6899,,MOBUD,,,DR,,
2018-12-01,,02,,Simple assault,,1,18F30,"Residence, Home (Includes Apartment)",6100-6199,,WINSOME,,,LN,,
2018-12-01,,02,,All other offenses,,1,11H30,Park/Playground,3900-3999,,RIVER,,,DR,,
2018-12-01,,02,,Driving under the influence,,1,17E10,"Highway, Road, Street, Alley",7300-7399,,MULLINS,,,DR,,
2018-12-01,,02,,"Burglary, Breaking and Entering",,1,16E40,"Bank, Savings & Loan",15900-15999,,POST OAK,,,RD,,S
2018-12-01,,02,,All other offenses,,1,,"Highway, Road, Street, Alley",6100-6199,,SWALLOW,,,,,
2018-12-01,,02,,All other larceny,,1,14D30,"Highway, Road, Street, Alley",8600-8699,,MARTIN LUTHER KING,,,BLVD,,
2018-12-01,,02,,"Destruction, damage, vandalism",,1,14D30,"Highway, Road, Street, Alley",8600-8699,,MARTIN LUTHER KING,,,BLVD,,
2018-12-01,,02,,Robbery,,1,3B50,"Highway, Road, Street, Alley",4400-4499,,NORTH,,,FWY,,
2018-12-01,,02,,Aggravated Assault,,1,11H10,"Residence, Home (Includes Apartment)",6500-6599,,JAMAIL,,,DR,,
2018-12-01,,02,,"Destruction, damage, vandalism",,1,11H10,"Residence, Home (Includes Apartment)",6500-6599,,JAMAIL,,,DR,,
2018-12-01,,02,,Aggravated Assault,,1,10H30,"Highway, Road, Street, Alley",1000-1099,,ROBERTS,,,ST,,
2018-12-01,,02,,Simple assault,,1,7C20,"Residence, Home (Includes Apartment)",3800-3899,,KING,,,ST,,
2018-12-01,,02,,All other offenses,,1,2A10,"Highway, Road, Street, Alley",1700-1799,,COLLINGSWORTH,,,ST,,
2018-12-01,,02,,Robbery,,1,2A20,Restaurant,3600-3699,,MAIN,,,ST,,N
2018-12-01,,02,,Driving under the influence,,1,12D70,"Highway, Road, Street, Alley",17000-17099,,GULF,,,FWY,,
2018-12-01,,02,,All other offenses,,1,16E20,"Highway, Road, Street, Alley",4300-4399,,AIRPORT,,,BLVD,,W
2018-12-01,,02,,Simple assault,,1,10H60,"Residence, Home (Includes Apartment)",6200-6299,,TIERWESTER,,,ST,,
2018-12-01,,02,,Robbery,,1,20G80,"Service, Gas Station",13900-13999,,RICHMOND,,,AVE,,
2018-12-01,,02,,Forcible sodomy,,1,18F20,"Hotel, Motel, ETC",2400-2499,,LOOP,,,,,W
2018-12-01,,02,,Simple assault,,1,18F50,"Bar, Nightclub",5900-5999,,HILLCROFT,,,AVE,,
2018-12-01,,02,,Motor vehicle theft,,1,1A20,"Parking Lot, Garage",200-299,,PIERCE,,,ST,,
2018-12-01,,02,,Theft from motor vehicle,,1,19G30,"Residence, Home (Includes Apartment)",12400-12499,,BEAR VALLEY,,,DR,,
2018-12-01,,02,,Motor vehicle theft,,1,20G60,"Residence, Home (Includes Apartment)",14700-14799,,BARRYKNOLL,,,LN,,
2018-12-01,,02,,All other larceny,,1,19G50,Restaurant,9700-9799,,BISSONNET,,,ST,,
2018-12-01,,02,,"Destruction, damage, vandalism",,1,17E30,"Residence, Home (Includes Apartment)",10600-10699,,WESTBRAE,,,PKWY,,
2018-12-01,,02,,All other larceny,,1,10H40,"Bar, Nightclub",2400-2499,,SAN JACINTO,,,ST,,
2018-12-01,,02,,Aggravated Assault,,1,10H30,"Highway, Road, Street, Alley",1000-1099,,ROBERTS,,,ST,,
2018-12-01,,02,,Robbery,,1,20G10,"Parking Lot, Garage",5900-5999,,RANCHESTER,,,DR,,
2018-12-01,,02,,Theft from building,,1,3B50,Rental Storage Facility,3900-3999,,NORTH,,,FWY,,
2018-12-01,,02,,"Destruction, damage, vandalism",,1,24C20,"Other, Unknown",4000-4099,,RUSTIC WOODS,,,DR,,
2018-12-01,,02,,Theft from building,,1,10H30,"Bar, Nightclub",1500-1599,,SAINT EMANUEL,,,ST,,
2018-12-01,,02,,Forcible sodomy,,1,10H50,"Residence, Home (Includes Apartment)",2300-2399,,TUAM,,,,,
2018-12-01,,02,,All other larceny,,1,10H50,"Residence, Home (Includes Apartment)",2300-2399,,TUAM,,,,,
2018-12-01,,03,,"Destruction, damage, vandalism",,1,20G10,"Hotel, Motel, ETC",2900-2999,,BRIARPARK,,,DR,,
2018-12-01,,03,,Aggravated Assault,,1,8C10,"Residence, Home (Includes Apartment)",4100-4199,,CROSSTIMBERS,,,ST,,E
2018-12-01,,03,,Simple assault,,1,1A40,"Highway, Road, Street, Alley",2700-2799,,WESTHEIMER,,,RD,,
2018-12-01,,03,,Simple assault,,2,6B10,"Highway, Road, Street, Alley",100-199,,SOREN,,,LN,,
2018-12-01,,03,,Robbery,,1,1A50,"Bar, Nightclub",3300-3399,,MERCER,,,ST,,
2018-12-01,,03,,"Destruction, damage, vandalism",,1,1A50,"Bar, Nightclub",3300-3399,,MERCER,,,ST,,
2018-12-01,,03,,Simple assault,,1,3B10,"Residence, Home (Includes Apartment)",4600-4699,,34TH,,,ST,,W
2018-12-01,,03,,Robbery,,1,16E40,"Residence, Home (Includes Apartment)",4900-4999,,RIDGECREEK,,,DR,,E
2018-12-01,,03,,Simple assault,,1,7C10,"Residence, Home (Includes Apartment)",3100-3199,,NANCE,,,,,
2018-12-01,,03,,"Burglary, Breaking and Entering",,1,14D10,"Drug Store, Doctors Office, Hospital",5700-5799,,BLYTHEWOOD,,,ST,,
2018-12-01,,03,,All other larceny,,1,6B40,"Residence, Home (Includes Apartment)",1900-1999,,MARJORIE,,,ST,,
2018-12-01,,03,,All other offenses,,1,2A10,"Highway, Road, Street, Alley",1600-1699,,COMMON,,,ST,,
2018-12-01,,03,,Simple assault,,1,13D20,"Residence, Home (Includes Apartment)",7900-7999,,GLENSCOTT,,,,,
2018-12-01,,03,,Aggravated Assault,,1,17E10,"Parking Lot, Garage",6400-6499,,HILLCROFT,,,AVE,,
2018-12-01,,03,,"Burglary, Breaking and Entering",,1,3B10,"Commercial, Office Building",5900-5999,,34TH,,,ST,,W
2018-12-01,,03,,Robbery,,1,1A20,"Highway, Road, Street, Alley",300-399,,ALABAMA,,,ST,,W
2018-12-01,,03,,"Drug, narcotic violations",,1,3B10,"Highway, Road, Street, Alley",5300-5399,,ANTOINE,,,DR,,
2018-12-01,,03,,Simple assault,,1,16E20,"Residence, Home (Includes Apartment)",3900-3999,,CURLY OAKS,,,DR,,
2018-12-01,,03,,"Burglary, Breaking and Entering",,1,6B30,Restaurant,5600-5699,,LITTLE YORK,,,RD,,W
2018-12-01,,03,,Simple assault,,1,7C30,"Residence, Home (Includes Apartment)",3100-3199,,TIDWELL,,,RD,,
2018-12-01,,03,,Motor vehicle theft,,1,6B10,"Highway, Road, Street, Alley",100-199,,ECHO GLEN,,,DR,,E
2018-12-01,,03,,Robbery,,1,14D20,Convenience Store,4900-4999,,ALVIN,,,ST,,
2018-12-01,,03,,"Burglary, Breaking and Entering",,1,20G30,Speciality Store,11200-11299,,RICHMOND,,,AVE,,
2018-12-01,,03,,Simple assault,,1,9C40,"Parking Lot, Garage",12900-12999,,EAST,,,FWY,,
2018-12-01,,03,,Theft from motor vehicle,,1,20G30,"Grocery, Supermarket",11000-11099,,WESTHEIMER,,,RD,,
2018-12-01,,03,,"Destruction, damage, vandalism",,1,20G30,"Grocery, Supermarket",11000-11099,,WESTHEIMER,,,RD,,
2018-12-01,,03,,"Burglary, Breaking and Entering",,1,1A20,"Commercial, Office Building",300-399,,GRAY,,,ST,,W
2018-12-01,,03,,Robbery,,1,18F40,"Bar, Nightclub",8400-8499,,WESTHEIMER,,,RD,,
2018-12-01,,03,,"Burglary, Breaking and Entering",,1,9C20,"Bar, Nightclub",6000-6099,,WALLISVILLE,,,RD,,
2018-12-01,,03,,"Destruction, damage, vandalism",,1,22B10,"Parking Lot, Garage",12300-12399,,GESSNER,,,RD,,N
2018-12-01,,03,,Theft from motor vehicle,,1,12D70,"Parking Lot, Garage",200-299,,EL DORADO,,,BLVD,,
2018-12-01,,03,,"Burglary, Breaking and Entering",,1,7C20,"Bar, Nightclub",3600-3699,,CRANE,,,ST,,
2018-12-01,,03,,Simple assault,,1,6B10,"Bar, Nightclub",1000-1099,,MAJORCA,,,DR,,
2018-12-01,,03,,Motor vehicle theft,,1,1A50,"Parking Lot, Garage",3700-3799,,WESTHEIMER,,,RD,,
